Date,Price,Open,High,Low,Vol.,Change %
12/18/17,961.62,969.88,970.12,957.38,-,-0.60%
12/15/17,967.38,967.88,972.12,964.12,-,-0.02%
12/14/17,967.62,979.88,980.88,966.62,-,-1.22%
12/13/17,979.62,977.12,981.38,976.12,-,0.38%
12/12/17,975.88,982.12,986.12,975.38,-,-0.66%
12/11/17,982.38,988.88,988.88,981.62,-,-0.71%
12/8/17,989.38,991.88,996.38,986.12,-,-0.28%
12/7/17,992.12,"1,003.88","1,006.38",988.38,-,-1.10%
12/6/17,"1,003.12","1,008.12","1,014.12",995.12,-,-0.52%
12/5/17,"1,008.38",999.12,"1,014.88",997.62,-,0.98%
12/4/17,998.62,998.38,"1,008.38",996.88,-,0.43%
12/1/17,994.38,986.88,995.88,985.62,-,0.89%
11/30/17,985.62,992.62,992.88,985.12,-,-0.71%
11/29/17,992.62,992.88,996.38,989.38,-,-0.03%
11/28/17,992.88,995.62,995.88,987.62,-,-0.35%
11/27/17,996.38,993.88,"1,001.38",990.62,-,0.33%
11/24/17,993.12,994.88,999.62,991.12,-,-0.43%
11/22/17,997.38,987.88,999.38,987.62,-,0.81%
11/21/17,989.38,989.62,991.12,986.38,-,-0.05%
11/20/17,989.88,989.88,991.88,983.12,-,-0.07%
11/17/17,990.62,972.62,991.88,971.62,-,1.90%
11/16/17,972.12,976.38,978.38,970.38,-,-0.41%
11/15/17,976.12,969.12,977.88,968.12,-,0.88%
11/14/17,967.62,975.12,977.12,967.12,-,-0.69%
11/13/17,974.38,987.12,990.12,973.88,-,-1.29%
11/10/17,987.12,985.88,990.75,983.88,-,0.23%
11/9/17,984.88,998.12,"1,007.62",983.62,-,-1.35%
11/8/17,998.38,996,999.38,994.88,-,0.23%
11/7/17,996.12,994.38,998.62,991.38,-,0.23%
11/6/17,993.88,987.12,995.62,985.38,-,0.66%
11/3/17,987.38,998.62,998.88,985.88,-,-1.18%
11/2/17,999.12,990.12,"1,000.38",990.12,-,0.78%
11/1/17,991.38,984.75,994.88,983.88,-,0.69%
10/31/17,984.62,984.38,988.38,982.12,-,0.02%
10/30/17,984.38,986.88,993.25,983.12,-,1.00%
10/27/17,974.62,970.62,976.62,969.88,-,0.41%
10/26/17,970.62,975.88,978.62,970.62,-,-0.51%
10/25/17,975.62,975.88,983.12,975.38,-,0.02%
10/24/17,975.38,979.88,982.88,972.88,-,-0.53%
